代码,名称,涨跌幅,最新价,换手率,成交额(百万),流通市值(百万),总市值(百万),封板资金(百万),首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
300564,筑博设计,20.028,17.38,4.144,81.53,1967.335,2803.658,150.552,9:25,9:25,0,1/1,1,工程咨询
301151,冠龙节能,20.0,21.3,10.027,119.035,1187.197,3628.112,121.631,9:25,9:25,0,1/1,1,通用设备
301038,深水规院,20.0,19.32,9.22,388.82,4309.906,4309.906,109.445,9:32,9:32,0,1/1,1,工程建设
300865,大宏立,20.0,36.54,17.78,426.141,2475.514,3496.147,90.103,9:41,9:41,0,1/1,1,专用设备
300718,长盛轴承,20.0,95.28,23.638,4217.407,18469.269,28467.665,83.37,9:44,14:09,5,1/1,1,工程机械
300617,安靠智电,19.993,36.73,13.47,671.956,5163.931,6147.139,37.429,9:59,10:16,3,1/1,1,电网设备
300808,久量股份,20.0,35.94,7.486,266.38,3780.868,5750.4,21.374,10:16,10:16,0,1/1,1,光学光电
300723,一品红,19.997,80.53,4.626,1456.719,33633.346,36374.819,57.448,10:24,14:48,1,1/1,1,化学制药
300722,新余国科,19.994,41.05,13.276,1431.054,11360.854,11360.854,118.795,10:49,10:49,0,1/1,1,航天航空
301161,唯万密封,19.992,29.59,39.905,579.98,1577.976,3550.8,34.665,13:05,13:08,1,1/1,1,塑料制品
300683,海特生物,20.0,37.92,16.551,727.068,4628.691,4963.515,60.702,14:09,14:56,1,1/1,1,生物制品
